date,mvrv,market_cap,price,supply
2016-02-24,1.38888584,6464764199.58945680954861272818,423.995112507306,15247261.13317653
2016-02-25,1.38869889,6467867594.8787643770032468452,424.090870251315,15251136.13279608
2016-02-26,1.4125491,6586375896.89922796482656401232,431.762241963764,15254636.13247588
2016-02-27,1.41577688,6606052938.34962942937292800066,432.947845996493,15258311.13247562
2016-02-28,1.41489813,6609859969.2167828846501325524,433.102262711864,15261661.13247535
2016-02-29,1.42718873,6682642624.20512223654052412307,437.775872589129,15264986.13247483
2016-03-01,1.40836687,6608331737.85899820388997401794,432.807867153711,15268511.13247454
2016-03-02,1.37665947,6461459062.39008218347001369352,423.079789392168,15272436.13237389
2016-03-03,1.36370699,6404671328.3688605181945704082,419.268821332554,15275811.1323733
2016-03-04,1.32762119,6233961495.20663444444876888478,407.990154295734,15279686.11391517
2016-03-05,1.29300875,6072330074.00409315691894117352,397.314453945061,15283436.11391432
2016-03-06,1.31351951,6171496150.64717540576470744416,403.705187463472,15287136.11391378
2016-03-07,1.34309201,6318467554.3985661379956590298,413.22936616014,15290461.11391307
2016-03-08,1.33712484,6292476529.24521202123346156504,411.425953243717,15294311.11390712
2016-03-09,1.3411659,6311258537.53638568723338572092,412.540703506721,15298511.11390652
2016-03-10,1.35270133,6371009645.92601648280798307661,416.340928696669,15302386.11387569
2016-03-11,1.36229072,6421211644.99340036020162583408,419.511934248977,15306386.11387504
2016-03-12,1.33231582,6281138643.08711658993335076548,410.264163296318,15309986.11387486
2016-03-13,1.33700014,6306111596.72338181309819827968,411.805882466394,15313311.11385472
2016-03-14,1.34667706,6357014019.84828437581541216484,415.026957276446,15317111.11385454
2016-03-15,1.34702813,6362353042.38724085283910765628,415.266400292227,15321136.11385364
2016-03-16,1.3520056,6390867973.4690160515251569032,417.024118468732,15324936.1138526
2016-03-17,1.35638731,6416576041.29153039126982565244,418.605363822326,15328461.11359194
2016-03-18,1.32505057,6269222347.22020162018318563116,408.901587405026,15331861.11358966
2016-03-19,1.32598423,6274029959.93298787845187719384,409.124429865576,15335261.11357959
2016-03-20,1.33522284,6320504988.49433998091857216714,412.056953828171,15338911.11355934
2016-03-21,1.33302131,6314953342.505004206891816017,411.601774050263,15342386.113559
2016-03-22,1.34807127,6392897932.95472924378287840339,416.581653828171,15346086.11350809
2016-03-23,1.35020487,6406678060.69983443710412550691,417.378299532437,15349811.11350743
2016-03-24,1.33729801,6349591400.68236627422171428431,413.560239918177,15353486.11350703
2016-03-25,1.34555077,6394300579.5812493470748836793,416.373243834015,15357136.11350662
2016-03-26,1.34628144,6402803379.1379724339550152421,416.823096668615,15360961.11350654
2016-03-27,1.37287033,6536896822.50770258185418079258,425.454959848042,15364486.11350649
2016-03-28,1.36375683,6499706636.84779864591110431016,422.917446814728,15368736.11103397
2016-03-29,1.3408893,6392933707.78090621594498538558,415.863828755114,15372661.11101347
2016-03-30,1.3308193,6347008620.18096098691194096088,412.777697779076,15376336.11101238
2016-03-31,1.34039332,6397181203.12141588156081173012,415.956811221508,15379436.11101189
2016-04-01,1.3439179,6417906692.4222988389109224832,417.20066025716,15383261.11101152
2016-04-02,1.35165651,6458783382.46754546739002370138,419.763056691993,15386736.11100266
2016-04-03,1.35223224,6465052566.96272133247070722701,420.073578901227,15390286.11100263
2016-04-04,1.35014818,6458592931.2880586165862640067,419.540727878434,15394436.11100255
2016-04-05,1.35890201,6505807453.9586028510344444076,422.50136440678,15398311.11100242
2016-04-06,1.35566372,6498314176.29921748392568640355,421.907191233197,15402236.11099215
2016-04-07,1.35117853,6493002234.76761919199990199256,421.467220046756,15405711.11093126
2016-04-08,1.34214463,6451007327.94039316689718576144,418.643460549386,15409311.11040104
2016-04-09,1.34233375,6454478064.87699050827757231827,418.758635359439,15413361.11036093
2016-04-10,1.35084023,6505561857.24020295631068351724,421.954488544711,15417686.11036084
2016-04-11,1.35449753,6527509950.90642537374642346676,423.273044009351,15421511.11036076
2016-04-12,1.36654458,6593161960.58739432095111311016,427.427664582116,15425211.11036026
2016-04-13,1.35807492,6555490264.2856517946957322254,424.87251811806,15429311.11036009
2016-04-14,1.36084658,6572419903.533022150826707196,425.8565949737,15433411.10858908
2016-04-15,1.37555561,6649043796.60101156140308661125,430.724418760959,15436886.10858875
2016-04-16,1.37971516,6673565144.84932464944271161982,432.216313033314,15440336.10858863
2016-04-17,1.37038391,6630849314.94540560231961317488,429.339968731736,15444286.10858858
2016-04-18,1.37101446,6637183962.7813429437206985644,429.656933664524,15447636.1085881
2016-04-19,1.39507656,6761043337.30343611882482277792,437.568726183518,15451386.10858544
2016-04-20,1.41003606,6841562099.94025080120602450863,442.661653302163,15455511.10854901
2016-04-21,1.43844551,6990143508.85101544614296440757,452.164702805377,15459286.10853941
2016-04-22,1.42445756,6929440315.01979781962536031274,448.134421332554,15462861.10853681
2016-04-23,1.44126699,7020454409.39254739018039213696,453.914722969024,15466461.10853654
2016-04-24,1.46984701,7168422322.65676370976024246162,463.382871420222,15469761.10853271
2016-04-25,1.47288881,7199804841.3692855452693620568,465.31600666277,15472936.10852984
2016-04-26,1.48393742,7267999182.1692058796357183864,469.60876452367,15476711.10768392
2016-04-27,1.40953828,6900043951.22367044344272718096,445.741113091759,15479936.10767344
2016-04-28,1.4252343,6983903264.73550215112261378829,451.060061776739,15483311.10767311
2016-04-29,1.44285983,7077832660.23630452660575194915,457.009965225015,15487261.10764661
2016-04-30,1.42025882,6969368412.86222010374387855517,449.900484511981,15490911.10764657
2016-05-01,1.43481218,7050293955.87121953216156772796,455.010731151374,15494786.10763954
2016-05-02,1.40306525,6895888977.65666817165830550075,444.933061192285,15498711.10763895
2016-05-03,1.42352585,7001369978.82310957718286214805,451.628850379895,15502486.10763859
2016-05-04,1.41279571,6952690123.64180075822874242095,448.367967562829,15506661.10568555
2016-05-05,1.41534562,6969443375.6674291860109674776,449.336072472238,15510536.1056852
2016-05-06,1.45231269,7162989182.06879366179376120744,461.693862361192,15514586.10568457
2016-05-07,1.45028008,7159568138.09416794285758362716,461.361842489772,15518336.10568453
2016-05-08,1.44965118,7161770203.62864095757904754292,461.378872296902,15522536.10568446
2016-05-09,1.45525025,7196090525.87271960720143870298,463.462231677382,15526811.10568239
2016-05-10,1.41626148,7005610568.34899239466609548758,451.079668322618,15530761.10568231
2016-05-11,1.42414735,7050864288.95793083682000696312,453.896305260082,15534086.10567516
2016-05-12,1.42876187,7079025579.23445573868478931404,455.607255932203,15537561.10567268
2016-05-13,1.43336991,7106161522.32654472097114437444,457.241902688486,15541361.10567254
2016-05-14,1.43505829,7121450195.37567372587704547375,458.119524839275,15544961.10567245
2016-05-15,1.44303466,7165616823.040189685189475604,460.85772063121,15548436.1056724
2016-05-16,1.42545539,7079627144.89579420964658923946,455.224077323203,15551961.10567182
2016-05-17,1.41546718,7055125032.88230121544409365184,453.545777030976,15555486.10565159
2016-05-18,1.41776705,7071491931.6754551392770170176,454.486184102864,15559311.1056484
2016-05-19,1.36583656,6811999978.67402402166792534036,437.724187142022,15562311.10542638
2016-05-20,1.37946798,6886364549.89818571711020376407,442.396799240211,15566036.10542637
2016-05-21,1.38433791,6914102782.41387096647876927586,444.078207188778,15569561.10542637
2016-05-22,1.37324466,6861331685.04070275568982409399,440.558668848627,15574161.10542637
2016-05-23,1.38378129,6920120048.6218046768381198861,444.205057276447,15578661.1054163
2016-05-24,1.38792754,6944649150.45196187826566434264,445.674454938632,15582336.10541627
2016-05-25,1.40185071,7022168560.4785369205360983998,450.54952717709,15585786.10541622
2016-05-26,1.41287581,7084240509.9870281783946364969,454.43372238457,15589161.10541617
2016-05-27,1.46115986,7356919396.27089660138656318775,471.820117299825,15592636.10541607
2016-05-28,1.63473944,8280061035.23869214083010998969,530.910597895967,15595961.10541607
2016-05-29,1.61944736,8229583541.7191020309488971802,527.54971244886,15599636.10541607
2016-05-30,1.63256643,8324219565.02516970354578158852,533.493149035652,15603236.10541601
2016-05-31,1.62098355,8286125543.83959942147096048716,530.943692811221,15606411.10541596
2016-06-01,1.63749336,8392142056.81520794999624033362,537.613678842782,15609986.10541191
2016-06-02,1.63594156,8412070380.87551399708435352608,538.771243191116,15613436.10518488
2016-06-03,1.72607424,8904430485.98866134168817593792,570.175988252484,15616986.10507888
2016-06-04,1.73508921,8970015733.4656087619967550242,574.26620163647,15619961.10497886
2016-06-05,1.73449123,8986071871.2797018975387918655,575.137638047925,15624211.10497886
2016-06-06,1.76124697,9156045666.77738506589801989936,585.857149035652,15628461.10497868
2016-06-07,1.73648602,9042608670.66974359224402322862,578.469240677966,15631961.10491857
2016-06-08,1.74643017,9117057925.56104474154768060464,583.097585330216,15635561.10491854
2016-06-09,1.7262705,9025689433.95792359206082431731,577.101699707773,15639686.10476847
2016-06-10,1.73124783,9070211832.2599774046553987424,579.814993571011,15643286.1047584
2016-06-11,1.80308386,9473581895.175616275295712448,605.44955698422,15647186.1047584
2016-06-12,1.97978904,10492201176.7141446260365609911,670.39237434249,15650836.10475839
2016-06-13,2.05438766,11026059609.86065166371667433606,704.321778141438,15654861.10475837
2016-06-14,1.99146107,10725031133.65904530506526680167,684.948319403857,15658161.10475831
2016-06-15,2.00817303,10885085966.44941669821408732871,695.001468439509,15661961.10475819
2016-06-16,2.18424554,12022161320.34919261238254119976,767.420031268264,15665686.10475409
2016-06-17,2.12593041,11752287633.59202090859860738728,750.014633927528,15669411.10475401
2016-06-18,2.14155867,11884933872.6386512138570706058,758.28878012858,15673361.10475401
2016-06-19,2.15941186,12021211098.17071042041357909848,766.767132670952,15677786.10475399
2016-06-20,2.03279428,11330122758.99478806708954655726,722.497452367037,15681886.10475398
2016-06-21,1.88290437,10503151148.64995397300440821804,669.604204675628,15685611.10475393
2016-06-22,1.68209991,9332237048.74728722383383004524,594.832974634716,15688836.10475389
2016-06-23,1.77191858,9849731876.21367350074669186191,627.677855639977,15692336.10475383
2016-06-24,1.86988311,10423845685.0703452663477101282,664.126985680889,15695561.1047538
2016-06-25,1.87909186,10501041019.00779078442491282592,668.872684102864,15699611.10475378
2016-06-26,1.7731205,9899873513.681551168184619798,630.4342421391,15703261.10474378
2016-06-27,1.83085813,10244767519.42703926315579797912,652.244807714787,15706936.10474376
2016-06-28,1.81560781,10168218550.19531372294270472872,647.218768381064,15710636.10474373
2016-06-29,1.79144978,10034928538.06116973950126816128,638.586345645821,15714286.10474368
2016-06-30,1.88463722,10598433062.77725678864523965037,674.284814728229,15718036.10474153
2016-07-01,1.89054098,10651789500.95514867331430955434,677.512385739334,15721911.10474151
2016-07-02,1.95662702,11051022772.07966845611774687648,702.739316773817,15725636.10474144
2016-07-03,1.84470645,10421572370.0900490304462529248,662.55008591467,15729486.10474144
2016-07-04,1.89000024,10696138828.81042992553732037728,679.842453360608,15733261.10474141
2016-07-05,1.85502138,10514851946.74126518401628808797,668.165981297487,15736886.10474131
2016-07-06,1.87853142,10666493627.99290592296447255465,677.651333138515,15740386.10474131
2016-07-07,1.77579285,10076877246.43948445885983330396,640.053236119229,15743811.10474124
2016-07-08,1.8419359,10472859283.7116369421281232757,665.051708357685,15747436.10474122
2016-07-09,1.80354226,10268410207.25264872751988259155,651.941914026885,15750498.60474103
2016-07-10,1.79645545,10238451113.80431609889971411879,649.959340970193,15752448.60474103
2016-07-11,1.79504742,10244547989.05447881188611030773,650.272594681473,15754236.10474101
2016-07-12,1.84676287,10556900220.41667838185327141132,670.023127995324,15756023.60474093
2016-07-13,1.81377039,10373781515.22203344900205190996,658.333613383986,15757636.10473786
2016-07-14,1.81967435,10415480467.0185424369278771249,660.905960198714,15759398.60473785
2016-07-15,1.83455167,10508840826.72890255019984855085,666.758671127995,15761086.10473783
2016-07-16,1.82935184,10486771967.51008633624007264787,665.275622150789,15763048.60473783
2016-07-17,1.86895135,10737317029.68856372205894098186,681.089601987142,15764911.10473783
2016-07-18,1.8515086,10644433355.51181946444059171504,675.118579193454,15766761.10473576
2016-07-19,1.8472273,10638288184.5075721665193169106,674.660360315605,15768361.10473572
2016-07-20,1.82663887,10523563158.02516059354948242795,667.305364874343,15770236.10473565
2016-07-21,1.82456417,10517518017.16304714475918530157,666.851739333723,15771898.60473559
2016-07-22,1.7803472,10261661310.9347492279807899125,650.562911630625,15773511.10473554
2016-07-23,1.79860084,10370234739.6273226289731781859,657.377942957335,15775148.60473554
2016-07-24,1.80565737,10434613478.86466963754024472209,661.393979836353,15776698.60473553
2016-07-25,1.78771375,10336696888.09729814111359567472,655.119577849211,15778336.10473552
2016-07-26,1.78522608,10329969987.2254316853588257998,654.626339158387,15779948.6047354
2016-07-27,1.78796338,10357038128.4588588477596281596,656.275146873174,15781548.6047354
2016-07-28,1.78683669,10356911756.93610794853448869888,656.196453360608,15783248.60473536
2016-07-29,1.78935642,10379602821.87698670735547986373,657.557567504383,15785086.10473531
2016-07-30,1.78228347,10345916190.86283762823434612393,655.361730157803,15786573.60473531
2016-07-31,1.7008979,9864724773.47417528417768819682,624.804487142022,15788498.60473531
2016-08-01,1.6531908,9577030363.562575387309152207,606.50924792519,15790411.1047353
2016-08-02,1.44664432,8322263415.3542181551418096301,526.981148334307,15792336.1047343
2016-08-03,1.56457026,9008295636.52713827932773507744,570.347040911748,15794411.10473128
2016-08-04,1.59778327,9217820765.33720092428330370372,583.542158036236,15796323.60472027
2016-08-05,1.59141223,9183311868.82896276322114289189,581.279805669199,15798436.10472011
2016-08-06,1.61723105,9334869325.41434813197759323843,590.795402980713,15800511.10472011
