Date,Close,Volumn,Single,RSI,SMA20,SMA21,EMA12,EMA26,EMA_fast,EMA_slow,MACD,SignalLine,BB_Upper,BB_Lower,MFI,OBV,ROC,MACD_tailor,Signalline_tailor,--,OBV 趨勢反轉,DSAM 連續up/down,MACD反轉,RSI突破,EMA12 vs EMA26,BB突破,MFI反轉,OBV vs ROC,MACD vs Signal Line,--,OBV P&L per position,DSAM P&L per position,MACD P&L per position,RSI P&L per position,EMA12 vs EMA26 P/L per position,BB突破 P&L per position,MFI反轉 P&L per position,OBV vs ROC P&L per position,MACD vs Signal Line P&L per position
2024-12-17,106074.107235411,115184737759.335,Sell,70.15789483789428,99025.13003528924,98687.35387993825,100994.61746694591,97266.50981890678,100993.61089921636,93710.77544583118,3728.107648039135,3683.3779572695403,104971.86275451122,93078.39731606726,49.46578501085883,UP,10.45746714450299,1099.7693263203837,869.2273879407522,,0,Sell,Buy,Hold+,Hold+,Hold+,Buy,Buy,Hold+,,,1352.6057173219888,,,,,,,
2024-12-18,106034.913402645,93417826250.1972,Hold-,69.81429857634757,99527.81667681622,99358.92924325855,101770.04761089962,97916.02119547999,101768.9632242437,94334.37682644596,3854.026415419634,3717.507648899559,106061.85387472408,92993.77947890836,57.15653254470808,DOWN,7.2343625006833445,1311.6028580110433,1004.4459969900573,,0,Buy,Hold+,Hold+,Hold+,Hold+,Hold+,Sell,Hold+,,,,,,,,,-39.19383276598819,
2024-12-19,100355.57614815,113692025885.447,Hold-,52.62557402202792,99762.5156863148,99567.23379449878,101552.43661663044,98096.72896975184,101551.58429194048,94639.0495121242,3455.7076468785963,3665.1476484953664,106044.16231234954,93480.86906028006,50.71281768540304,UP,3.244883846708859,1182.1971836529992,1087.3792252666567,,0,Sell,Sell,Hold+,Hold+,Hold+,Hold+,0,Hold+,,,-5679.337254495011,-5718.531087260999,,,,,,
2024-12-20,97851.353770758,100611554887.241,Hold-,51.12445636167598,99782.4210075975,99671.50797605018,100983.039255727,98078.55302908563,100982.48883778261,94801.59210761107,2904.4862266413693,3513.0153641245674,106035.71564655592,93529.12636863907,43.45612829197981,DOWN,-2.1230528821830243,1208.709962847497,1137.4888402312374,,0,Buy,0,Hold+,Hold+,Hold+,Hold+,0,Hold+,,,,,,,,,,
2024-12-21,97691.4343169265,112340864006.628,Hold-,45.658146811838094,99841.3356060947,99682.85021280363,100476.63849591154,98049.87756892569,100476.32465247494,94947.81812340242,2426.7609269858513,3295.764476696824,105986.2037178944,93696.467494295,46.20483364514956,UP,-2.0949662631194306,986.7655650880188,1142.3406204110631,,0,Sell,0,Hold+,Hold+,Hold+,Hold+,0,Sell,,,-159.9194538314914,,,,,,,-3432.1837934094947
2024-12-22,97202.8249684763,53058382639.4884,Hold-,45.14868859297222,99835.89149497636,99715.69224239858,99972.9748763061,97987.13293185536,99972.86040107594,95061.92146976315,1985.8419444507454,3033.7799702476086,105990.3814302807,93681.40155967201,37.922979122822746,DOWN,-3.9833377072036624,807.9950316702743,1096.0607354399876,,0,Buy,0,Hold+,Hold+,Hold+,Hold+,0,0,,,,,,,,,,
2024-12-23,95094.2739486217,44619017105.3695,Hold-,38.725932831716676,99798.94838090561,99610.10018324519,99222.4055028162,97772.84708124546,99222.53380468849,95063.55850519339,1449.558421570735,2716.935660512234,106062.50860273374,93535.38815907748,38.184764159208335,DOWN,-2.3210903399700444,406.2883061760658,1000.4754619666118,,Sell,Sell,0,Hold+,Sell,Hold+,Sell,0,0,,,-2108.5510198545962,,,31886.503327346203,,-10979.83328678929,,
2024-12-24,94644.9108546432,64937790292.6112,Hold-,44.309570340686946,99729.61237475787,99553.51802251216,98518.17555694343,97541.14810149715,98518.49539497151,95042.37493407555,977.0274554462812,2368.9540194990436,106196.17673336617,93263.04801614957,34.02991112066513,UP,-2.0742985368485307,282.1217299262644,883.6686624817376,,Hold-,Buy,0,Hold+,0,Hold+,Buy,0,0,,,,,,,,,,
2024-12-25,98695.714007826,49169088282.1574,Hold-,53.7679533176897,99720.32460234004,99680.37911918969,98545.48916477153,97626.67150196595,98545.75161762853,95227.23389120733,918.8176628055808,2078.926748160351,106192.54920220311,93248.10000247697,36.244294384790344,DOWN,-2.4009268535673978,437.5523266377277,758.8043008569782,,Hold-,Sell,0,Hold+,0,Hold+,Sell,0,0,,,4050.803153182802,,,,,4050.803153182802,,
2024-12-26,99344.9541736722,33963749856.4474,Hold-,46.18727250573994,99827.4972928198,99702.44982002254,98668.48378152547,97753.95169987011,98668.66897074804,95435.59053750006,914.5320816553576,1846.0478148593525,106194.23224454737,93460.76234109222,42.60519399071258,DOWN,-0.6558488900236127,203.3322121105739,618.9664477794888,,Hold-,Buy,0,Hold+,0,Hold+,Buy,0,0,,,,,,,,,,
2024-12-27,95678.312445654,45049342388.1884,Hold-,41.64547181254895,99612.72033977258,99629.91706200238,98208.45742216063,97600.20064400225,98208.75213718857,95447.87226605264,608.2567781583784,1598.4896075191577,106243.02514804283,92982.41553150234,38.0865743103695,UP,-5.59821652008964,109.35945660799916,461.9163754595606,,Hold-,Sell,0,Hold+,0,Hold+,Hold+,0,0,,,-3666.641728018207,,,,,,,
2024-12-28,94331.9472705307,41498540807.6669,Hold-,36.42853241743922,99340.22620370003,99361.25495552298,97612.0712449868,97358.10780152287,97612.49954869658,95391.40646127923,253.96344346393016,1329.5843747081124,106376.78305968543,92303.66934771463,40.18106943137388,HOLD,-6.940190235660576,-119.5951532045292,303.86484427491087,,Hold-,Buy,0,Hold+,0,Hold+,Hold+,0,0,,,,,,,,,,
2024-12-29,95184.619452886,22429850903.94,Hold-,38.42336223355715,99037.6885912178,99142.340167947,97238.61712312514,97197.1086645868,97239.09158996091,95380.94303865453,41.50845853833016,1071.969191474156,106249.29166443892,91826.08551799667,33.80240415284588,DOWN,-9.10689965952756,-258.65691162567236,151.48599523263277,,Hold-,Sell,0,Hold+,Buy,Hold+,Hold+,0,0,,,852.6721823553089,,,,,,,
2024-12-30,93663.4475196406,24065314499.5022,Hold-,27.76712175692785,98853.16361678939,98781.77234971413,96688.59103028136,96935.35598718339,96689.15753194565,95294.03776539244,-246.76495690202864,808.2223617989192,106425.97901148774,91280.34822209104,31.264822600115068,HOLD,-11.699989789428377,-863.992937086412,-29.982753804864064,,Hold-,Buy,0,Sell,Sell,Hold+,Hold+,0,0,,,,,36614.3287684974,-1521.1719332454086,,,,
2024-12-31,92627.2821311327,57595164139.4709,Buy,22.615907382094264,98652.04199996026,98556.69306985335,96063.77427656618,96616.2394052537,96064.4410953006,95159.09993029891,-552.465128687516,536.0848637016322,106671.73087417378,90632.35312574674,24.88420578943125,UP,-12.644543991467868,-1623.3588277057715,-302.194262038012,,Hold-,Sell,0,0,0,Hold+,Hold+,0,0,,,-1036.1653885078995,,,,,,,
2025-01-01,93507.8587474149,45327464907.7436,Buy,25.334266370375417,98271.25403181421,98407.0808926962,95670.5565028506,96385.98898615452,95671.23873019578,95075.54712644497,-715.4324833039282,285.7813943005202,106516.85431469319,90025.65374893523,12.356601642491341,DOWN,-6.823454822905058,-2137.36047779044,-670.0389483848932,,Hold-,0,0,0,0,Hold+,Hold+,0,0,,,,,,,,,,
2025-01-02,94384.1761153871,23275007789.4963,Hold+,35.499707338591506,97990.42241931602,98086.15508341293,95472.65182785621,96237.70655128286,95473.28850003821,95040.56375328545,-765.0547234266414,75.61417075508788,106369.50449142579,89611.34034720625,18.672925563974445,DOWN,-3.5433108707863648,-2283.0574390610273,-1025.2374699808363,,Hold-,0,0,Buy,0,Hold+,Hold+,0,0,,,,,,,,,,
2025-01-03,96852.1468123507,45157338602.6175,Hold+,47.56935608215131,97765.41827428745,97936.21881898434,95684.88182547074,96283.22064469529,95685.35690847186,95132.22985607415,-598.3388192245475,-59.17642724083919,106004.9151104252,89525.92143814971,24.35176117347774,UP,-0.8591208742549835,-2129.425219632991,-1345.0638523009777,,Hold-,Buy,0,Hold+,Buy,Hold+,Hold+,0,0,,,,,,,,,,
2025-01-04,98084.3427928075,35721645948.1005,Hold+,50.908389851430144,97601.28488165117,97780.60515612173,96054.02966659948,96416.63710011101,96054.32093748267,95281.60677067286,-362.6074335115263,-119.86262849497662,105667.6629688105,89534.90679449184,33.336719835770936,DOWN,0.9068849846875133,-1937.2269358623307,-1604.7255355378063,,Hold-,Sell,0,Hold+,Hold+,Hold+,Hold+,0,0,,,1232.1959804568032,,,,,,,
2025-01-05,98256.7387684993,20979035420.9807,Hold+,52.472765158678506,97278.04674417169,97632.49697150108,96392.90798996869,96552.94092739903,96393.05279989302,95432.14844976288,-160.0329374303401,-127.89669028204932,104629.49687453551,89926.59661380787,44.034230033143494,DOWN,3.3256101430315765,-1538.70924123835,-1787.5901540539032,,Hold-,Buy,0,Hold+,Hold+,Hold+,Hold+,0,Buy,,,,,,,,,,
2025-01-06,98364.5894659983,20060293834.7155,Hold+,58.46805079901369,96892.57085570102,97329.78687378249,96696.24360166556,96687.13711544342,96696.27513914001,95580.5299651844,9.10648622213921,-100.49605498121163,103006.33792683334,90778.8037845687,50.50336414536331,HOLD,3.930141174804247,-919.6393872407934,-1795.5396469331006,,Hold-,Sell,Buy,Hold+,Hold+,Hold+,Hold+,0,Hold+,,,107.8506974990014,,,,,,,
2025-01-07,102229.394531897,46111387334.4617,Sell,66.68740644702999,96702.29491216363,97146.70531647226,97547.49759093192,97097.67470184738,97547.26890174602,95916.96251226006,449.82288908453484,9.567733831937659,101764.46343150822,91640.12639281905,56.66009050728489,UP,3.580378904590334,-187.61460961385455,-1590.4333300628266,,Hold-,Buy,Sell,Hold+,Hold+,Hold+,Sell,0,Hold+,,,,3864.805065898705,,,,2884.440358224805,,
2025-01-08,96952.0988677495,60610257147.154,Sell,46.36013787261031,96532.12104814361,96714.1903386201,97455.8977873654,97086.89130672903,97455.73175051736,95969.34041184782,369.0064806363662,81.45548319282337,101297.30439158189,91766.93770470534,67.88211842023313,UP,-2.408632955569713,-141.98468417070399,-1305.3796452600072,,Buy,Sell,Buy,Hold+,Hold+,Hold+,Buy,0,Hold+,,-1857.824919127801,-5277.295664147503,,,,,,,
2025-01-09,95016.7144098917,65790469838.3439,Hold-,41.42508809742163,96390.3890801003,96459.95882727447,97080.63880621559,96933.54486992626,97080.61088352912,95921.13753614883,147.09393628932594,94.58317381212389,101158.98021478005,91621.79794542055,56.84445487103901,HOLD,-0.6914817149791213,-309.41269925456436,-1023.4303967162268,,0,Buy,Hold+,Hold+,Hold+,Hold+,Hold+,0,Hold+,,,,,,,,,,
