date,buy_frac,quote_vol,taker_buy_quote
2022-03-27,0.5177,1907019662.3441498,987241345.646293
2022-03-28,0.4937,2789898402.616576,1377280753.9727275
2022-03-29,0.4948,1748600385.4502351,865179145.1756456
2022-03-30,0.5103,1932152559.8831122,985946938.5682786
2022-03-31,0.4704,2262485160.568584,1064278670.6426109
2022-04-01,0.4985,2556532890.870311,1274359931.8405368
2022-04-02,0.5008,1721690754.4393935,862197811.5688924
2022-04-03,0.5014,1550999693.0508049,777615974.8155177
2022-04-04,0.491,2053434523.8685389,1008164276.0490184
2022-04-05,0.4886,1951668192.9295099,953494654.4599284
2022-04-06,0.4842,2700644700.890392,1307725131.1946254
2022-04-07,0.4966,1623879486.6600313,806358703.2156662
2022-04-08,0.4846,1830699971.6113117,887196762.4943209
2022-04-09,0.4981,759274586.6137776,378158044.3039713
2022-04-10,0.4812,971459737.5009404,467438845.4221835
2022-04-11,0.4811,2602039073.0150447,1251713135.5000079
2022-04-12,0.4909,2309514071.593873,1133659106.655711
2022-04-13,0.4965,1677171454.091079,832653378.5114936
2022-04-14,0.4832,1494726286.0180101,722216571.859389
2022-04-15,0.4893,966888436.8162509,473100437.4733753
2022-04-16,0.4836,638275503.9141085,308642382.8796384
2022-04-17,0.4794,803414248.9836985,385124871.4665126
2022-04-18,0.4999,2153574975.9131336,1076513006.7058175
2022-04-19,0.4975,1472363265.3621879,732539241.889679
2022-04-20,0.4895,1697039284.0853007,830754792.6236624
2022-04-21,0.4961,2476061417.8872576,1228429890.9573543
2022-04-22,0.4982,1870172362.40225,931654706.5531975
2022-04-23,0.5035,804677022.9078971,405193110.9436816
2022-04-24,0.4735,1056336243.0198609,500129939.0779573
2022-04-25,0.5072,2470071005.2401423,1252785476.6028605
2022-04-26,0.4794,2615206861.8349133,1253685872.4445755
2022-04-27,0.507,2218523642.426387,1124748467.7003632
2022-04-28,0.5085,2223808385.8063755,1130865428.7936184
2022-04-29,0.4816,2006135662.8559992,966125835.4961329
2022-04-30,0.468,1354900532.1335113,634076437.1873089
2022-05-01,0.5039,1478259271.913873,744825800.8143975
2022-05-02,0.5127,2058450718.2963233,1055369693.1339271
2022-05-03,0.4963,1539320434.2647235,764016892.6745052
2022-05-04,0.5268,2438553987.4535437,1284541284.6021378
2022-05-05,0.4712,3329684235.9639516,1568954443.5851629
2022-05-06,0.5048,2466507512.182029,1245062436.8376348
